time,ghi,solar_pu
2023-01-01 00:30:00,0.0,0.0
2023-01-01 01:30:00,0.0,0.0
2023-01-01 02:30:00,84.1,0.0841
2023-01-01 03:30:00,261.66,0.26166
2023-01-01 04:30:00,438.01,0.43801
2023-01-01 05:30:00,572.61,0.5726100000000001
2023-01-01 06:30:00,648.56,0.6485599999999999
2023-01-01 07:30:00,657.41,0.6574099999999999
2023-01-01 08:30:00,597.81,0.59781
2023-01-01 09:30:00,476.51,0.47651
2023-01-01 10:30:00,308.11,0.30811
2023-01-01 11:30:00,124.35,0.12434999999999999
2023-01-01 12:30:00,0.0,0.0
2023-01-01 13:30:00,0.0,0.0
2023-01-01 14:30:00,0.0,0.0
2023-01-01 15:30:00,0.0,0.0
2023-01-01 16:30:00,0.0,0.0
2023-01-01 17:30:00,0.0,0.0
2023-01-01 18:30:00,0.0,0.0
2023-01-01 19:30:00,0.0,0.0
2023-01-01 20:30:00,0.0,0.0
2023-01-01 21:30:00,0.0,0.0
2023-01-01 22:30:00,0.0,0.0
2023-01-01 23:30:00,0.0,0.0
2023-01-02 00:30:00,0.0,0.0
2023-01-02 01:30:00,0.0,0.0
2023-01-02 02:30:00,82.15,0.08215
2023-01-02 03:30:00,257.56,0.25756
2023-01-02 04:30:00,432.86,0.43286
2023-01-02 05:30:00,567.91,0.5679099999999999
2023-01-02 06:30:00,646.46,0.64646
2023-01-02 07:30:00,656.56,0.6565599999999999
2023-01-02 08:30:00,598.51,0.59851
2023-01-02 09:30:00,478.21,0.47820999999999997
2023-01-02 10:30:00,309.51,0.30951
2023-01-02 11:30:00,125.6,0.1256
2023-01-02 12:30:00,0.0,0.0
2023-01-02 13:30:00,0.0,0.0
2023-01-02 14:30:00,0.0,0.0
2023-01-02 15:30:00,0.0,0.0
2023-01-02 16:30:00,0.0,0.0
2023-01-02 17:30:00,0.0,0.0
2023-01-02 18:30:00,0.0,0.0
2023-01-02 19:30:00,0.0,0.0
2023-01-02 20:30:00,0.0,0.0
2023-01-02 21:30:00,0.0,0.0
2023-01-02 22:30:00,0.0,0.0
2023-01-02 23:30:00,0.0,0.0
2023-01-03 00:30:00,0.0,0.0
2023-01-03 01:30:00,0.0,0.0
2023-01-03 02:30:00,77.0,0.077
2023-01-03 03:30:00,245.16,0.24516
2023-01-03 04:30:00,419.41,0.41941
2023-01-03 05:30:00,553.21,0.5532100000000001
2023-01-03 06:30:00,629.96,0.6299600000000001
2023-01-03 07:30:00,610.41,0.61041
