rank,action_id,action_type,name,converged,resolved,residual_violations_count,residual_voltage_violations,residual_loading_violations,min_vm_pu,max_vm_pu,max_line_loading_percent,renewable_retained_pct,cost_proxy,score,description,violations_detail
1,battery_coordinated_b5_b10,BATTERY_DISPATCH,Dual-Battery Coordinated Dispatch (-2.0 MW),True,True,0,0,0,0.958,1.03,36.42,100.0,2.0,1170.0,Coordinated dispatch of Battery 1 (Bus 5: -1.2 MW) and Battery 2 (Bus 10: -0.8 MW). 100% clean energy preserved.,[]
2,battery_-2.00mw_bus6,BATTERY_DISPATCH,Battery Dispatch (-2.00 MW),True,False,1,0,0,0.9465,1.03,47.67,100.0,2.0,103.78,Dispatched Battery Bus 6 at Bus 6 to -2.00 MW (DISCHARGING (inject power)). 100% clean energy preserved.,"[{'element_type': 'trafo', 'element_id': 0, 'element_name': 'Trafo 0-1', 'hv_bus': 0, 'lv_bus': 1, 'violation_type': 'TRAFO_OVERLOAD', 'actual_value': 103.11, 'limit_value': 100.0, 'unit': '%', 'margin': 3.11, 'severity': 3.11, 'description': 'Trafo 0-1 overload: 103.1% exceeds limit 100.0% (+3.1%)'}]"
3,battery_-1.50mw_bus6,BATTERY_DISPATCH,Battery Dispatch (-1.50 MW),True,False,1,0,0,0.9409,1.03,56.17,100.0,2.0,99.56,Dispatched Battery Bus 6 at Bus 6 to -1.50 MW (DISCHARGING (inject power)). 100% clean energy preserved.,"[{'element_type': 'trafo', 'element_id': 0, 'element_name': 'Trafo 0-1', 'hv_bus': 0, 'lv_bus': 1, 'violation_type': 'TRAFO_OVERLOAD', 'actual_value': 105.22, 'limit_value': 100.0, 'unit': '%', 'margin': 5.22, 'severity': 5.22, 'description': 'Trafo 0-1 overload: 105.2% exceeds limit 100.0% (+5.2%)'}]"
4,reconfig_switch_4,FEEDER_RECONFIGURATION,Feeder Reconfiguration (S1),True,False,2,0,0,0.95,1.03,53.61,100.0,1.0,54.16,Closed tie-switch S1 at Bus 8 (Line 14) to redistribute power flow across feeders.,"[{'element_type': 'trafo', 'element_id': 0, 'element_name': 'Trafo 0-1', 'hv_bus': 0, 'lv_bus': 1, 'violation_type': 'TRAFO_OVERLOAD', 'actual_value': 103.94, 'limit_value': 100.0, 'unit': '%', 'margin': 3.94, 'severity': 3.94, 'description': 'Trafo 0-1 overload: 103.9% exceeds limit 100.0% (+3.9%)'}, {'element_type': 'trafo', 'element_id': 1, 'element_name': 'Trafo 0-12', 'hv_bus': 0, 'lv_bus': 12, 'violation_type': 'TRAFO_OVERLOAD', 'actual_value': 105.42, 'limit_value': 100.0, 'unit': '%', 'margin': 5.42, 'severity': 5.42, 'description': 'Trafo 0-12 overload: 105.4% exceeds limit 100.0% (+5.4%)'}]"
5,hybrid_reconfig_s1_battery,HYBRID,Hybrid: Reconfiguration (S1) + Battery (0.5 MW),True,False,2,0,0,0.9594,1.03,37.65,100.0,2.0,43.54,Closed tie-switch S1 and dispatched Battery 1 to absorb/support 0.5 MW. 100% clean energy preserved.,"[{'element_type': 'trafo', 'element_id': 0, 'element_name': 'Trafo 0-1', 'hv_bus': 0, 'lv_bus': 1, 'violation_type': 'TRAFO_OVERLOAD', 'actual_value': 101.42, 'limit_value': 100.0, 'unit': '%', 'margin': 1.42, 'severity': 1.42, 'description': 'Trafo 0-1 overload: 101.4% exceeds limit 100.0% (+1.4%)'}, {'element_type': 'trafo', 'element_id': 1, 'element_name': 'Trafo 0-12', 'hv_bus': 0, 'lv_bus': 12, 'violation_type': 'TRAFO_OVERLOAD', 'actual_value': 103.23, 'limit_value': 100.0, 'unit': '%', 'margin': 3.23, 'severity': 3.23, 'description': 'Trafo 0-12 overload: 103.2% exceeds limit 100.0% (+3.2%)'}]"
6,battery_-1.00mw_bus6,BATTERY_DISPATCH,Battery Dispatch (-1.00 MW),True,False,8,7,0,0.935,1.03,65.5,100.0,2.0,-325.76,Dispatched Battery Bus 6 at Bus 6 to -1.00 MW (DISCHARGING (inject power)). 100% clean energy preserved.,"[{'element_type': 'bus', 'element_id': 4, 'element_name': 'Bus 4', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9392, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0008, 'severity': 0.08, 'description': 'Bus 4 undervoltage: 0.9392 p.u. falls below lower limit 0.94 p.u. (-0.0008 p.u.)'}, {'element_type': 'bus', 'element_id': 5, 'element_name': 'Bus 5', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9381, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0019, 'severity': 0.19, 'description': 'Bus 5 undervoltage: 0.9381 p.u. falls below lower limit 0.94 p.u. (-0.0019 p.u.)'}, {'element_type': 'bus', 'element_id': 6, 'element_name': 'Bus 6', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9384, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0016, 'severity': 0.16, 'description': 'Bus 6 undervoltage: 0.9384 p.u. falls below lower limit 0.94 p.u. (-0.0016 p.u.)'}, {'element_type': 'bus', 'element_id': 8, 'element_name': 'Bus 8', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9378, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0022, 'severity': 0.22, 'description': 'Bus 8 undervoltage: 0.9378 p.u. falls below lower limit 0.94 p.u. (-0.0022 p.u.)'}, {'element_type': 'bus', 'element_id': 9, 'element_name': 'Bus 9', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9369, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0031, 'severity': 0.31, 'description': 'Bus 9 undervoltage: 0.9369 p.u. falls below lower limit 0.94 p.u. (-0.0031 p.u.)'}, {'element_type': 'bus', 'element_id': 10, 'element_name': 'Bus 10', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9353, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0047, 'severity': 0.47, 'description': 'Bus 10 undervoltage: 0.9353 p.u. falls below lower limit 0.94 p.u. (-0.0047 p.u.)'}, {'element_type': 'bus', 'element_id': 11, 'element_name': 'Bus 11', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.935, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.005, 'severity': 0.5, 'description': 'Bus 11 undervoltage: 0.9350 p.u. falls below lower limit 0.94 p.u. (-0.0050 p.u.)'}, {'element_type': 'trafo', 'element_id': 0, 'element_name': 'Trafo 0-1', 'hv_bus': 0, 'lv_bus': 1, 'violation_type': 'TRAFO_OVERLOAD', 'actual_value': 107.38, 'limit_value': 100.0, 'unit': '%', 'margin': 7.38, 'severity': 7.38, 'description': 'Trafo 0-1 overload: 107.4% exceeds limit 100.0% (+7.4%)'}]"
7,reconfig_switch_1,FEEDER_RECONFIGURATION,Feeder Reconfiguration (S2),True,False,10,9,0,0.9215,1.03,85.68,100.0,1.0,-442.36,Closed tie-switch S2 at Bus 7 (Line 12) to redistribute power flow across feeders.,"[{'element_type': 'bus', 'element_id': 3, 'element_name': 'Bus 3', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9288, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0112, 'severity': 1.12, 'description': 'Bus 3 undervoltage: 0.9288 p.u. falls below lower limit 0.94 p.u. (-0.0112 p.u.)'}, {'element_type': 'bus', 'element_id': 4, 'element_name': 'Bus 4', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9268, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0132, 'severity': 1.32, 'description': 'Bus 4 undervoltage: 0.9268 p.u. falls below lower limit 0.94 p.u. (-0.0132 p.u.)'}, {'element_type': 'bus', 'element_id': 5, 'element_name': 'Bus 5', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9255, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0145, 'severity': 1.45, 'description': 'Bus 5 undervoltage: 0.9255 p.u. falls below lower limit 0.94 p.u. (-0.0145 p.u.)'}, {'element_type': 'bus', 'element_id': 6, 'element_name': 'Bus 6', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9254, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0146, 'severity': 1.46, 'description': 'Bus 6 undervoltage: 0.9254 p.u. falls below lower limit 0.94 p.u. (-0.0146 p.u.)'}, {'element_type': 'bus', 'element_id': 7, 'element_name': 'Bus 7', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9256, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0144, 'severity': 1.44, 'description': 'Bus 7 undervoltage: 0.9256 p.u. falls below lower limit 0.94 p.u. (-0.0144 p.u.)'}, {'element_type': 'bus', 'element_id': 8, 'element_name': 'Bus 8', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9243, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0157, 'severity': 1.57, 'description': 'Bus 8 undervoltage: 0.9243 p.u. falls below lower limit 0.94 p.u. (-0.0157 p.u.)'}, {'element_type': 'bus', 'element_id': 9, 'element_name': 'Bus 9', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9233, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0167, 'severity': 1.67, 'description': 'Bus 9 undervoltage: 0.9233 p.u. falls below lower limit 0.94 p.u. (-0.0167 p.u.)'}, {'element_type': 'bus', 'element_id': 10, 'element_name': 'Bus 10', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9217, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0183, 'severity': 1.83, 'description': 'Bus 10 undervoltage: 0.9217 p.u. falls below lower limit 0.94 p.u. (-0.0183 p.u.)'}, {'element_type': 'bus', 'element_id': 11, 'element_name': 'Bus 11', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9215, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0185, 'severity': 1.85, 'description': 'Bus 11 undervoltage: 0.9215 p.u. falls below lower limit 0.94 p.u. (-0.0185 p.u.)'}, {'element_type': 'trafo', 'element_id': 0, 'element_name': 'Trafo 0-1', 'hv_bus': 0, 'lv_bus': 1, 'violation_type': 'TRAFO_OVERLOAD', 'actual_value': 111.83, 'limit_value': 100.0, 'unit': '%', 'margin': 11.83, 'severity': 11.83, 'description': 'Trafo 0-1 overload: 111.8% exceeds limit 100.0% (+11.8%)'}]"
8,reconfig_switch_2,FEEDER_RECONFIGURATION,Feeder Reconfiguration (S3),True,False,10,9,0,0.9218,1.03,85.89,100.0,1.0,-442.38,Closed tie-switch S3 at Bus 4 (Line 13) to redistribute power flow across feeders.,"[{'element_type': 'bus', 'element_id': 3, 'element_name': 'Bus 3', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9286, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0114, 'severity': 1.14, 'description': 'Bus 3 undervoltage: 0.9286 p.u. falls below lower limit 0.94 p.u. (-0.0114 p.u.)'}, {'element_type': 'bus', 'element_id': 4, 'element_name': 'Bus 4', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9254, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0146, 'severity': 1.46, 'description': 'Bus 4 undervoltage: 0.9254 p.u. falls below lower limit 0.94 p.u. (-0.0146 p.u.)'}, {'element_type': 'bus', 'element_id': 5, 'element_name': 'Bus 5', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9235, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0165, 'severity': 1.65, 'description': 'Bus 5 undervoltage: 0.9235 p.u. falls below lower limit 0.94 p.u. (-0.0165 p.u.)'}, {'element_type': 'bus', 'element_id': 6, 'element_name': 'Bus 6', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9218, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0182, 'severity': 1.82, 'description': 'Bus 6 undervoltage: 0.9218 p.u. falls below lower limit 0.94 p.u. (-0.0182 p.u.)'}, {'element_type': 'bus', 'element_id': 7, 'element_name': 'Bus 7', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9296, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0104, 'severity': 1.04, 'description': 'Bus 7 undervoltage: 0.9296 p.u. falls below lower limit 0.94 p.u. (-0.0104 p.u.)'}, {'element_type': 'bus', 'element_id': 8, 'element_name': 'Bus 8', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9265, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0135, 'severity': 1.35, 'description': 'Bus 8 undervoltage: 0.9265 p.u. falls below lower limit 0.94 p.u. (-0.0135 p.u.)'}, {'element_type': 'bus', 'element_id': 9, 'element_name': 'Bus 9', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9258, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0142, 'severity': 1.42, 'description': 'Bus 9 undervoltage: 0.9258 p.u. falls below lower limit 0.94 p.u. (-0.0142 p.u.)'}, {'element_type': 'bus', 'element_id': 10, 'element_name': 'Bus 10', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9249, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0151, 'severity': 1.51, 'description': 'Bus 10 undervoltage: 0.9249 p.u. falls below lower limit 0.94 p.u. (-0.0151 p.u.)'}, {'element_type': 'bus', 'element_id': 11, 'element_name': 'Bus 11', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.925, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.015, 'severity': 1.5, 'description': 'Bus 11 undervoltage: 0.9250 p.u. falls below lower limit 0.94 p.u. (-0.0150 p.u.)'}, {'element_type': 'trafo', 'element_id': 0, 'element_name': 'Trafo 0-1', 'hv_bus': 0, 'lv_bus': 1, 'violation_type': 'TRAFO_OVERLOAD', 'actual_value': 111.87, 'limit_value': 100.0, 'unit': '%', 'margin': 11.87, 'severity': 11.87, 'description': 'Trafo 0-1 overload: 111.9% exceeds limit 100.0% (+11.9%)'}]"
9,battery_-0.50mw_bus6,BATTERY_DISPATCH,Battery Dispatch (-0.50 MW),True,False,10,9,0,0.9289,1.03,75.46,100.0,2.0,-451.42,Dispatched Battery Bus 6 at Bus 6 to -0.50 MW (DISCHARGING (inject power)). 100% clean energy preserved.,"[{'element_type': 'bus', 'element_id': 3, 'element_name': 'Bus 3', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9349, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0051, 'severity': 0.51, 'description': 'Bus 3 undervoltage: 0.9349 p.u. falls below lower limit 0.94 p.u. (-0.0051 p.u.)'}, {'element_type': 'bus', 'element_id': 4, 'element_name': 'Bus 4', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9327, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0073, 'severity': 0.73, 'description': 'Bus 4 undervoltage: 0.9327 p.u. falls below lower limit 0.94 p.u. (-0.0073 p.u.)'}, {'element_type': 'bus', 'element_id': 5, 'element_name': 'Bus 5', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9312, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0088, 'severity': 0.88, 'description': 'Bus 5 undervoltage: 0.9312 p.u. falls below lower limit 0.94 p.u. (-0.0088 p.u.)'}, {'element_type': 'bus', 'element_id': 6, 'element_name': 'Bus 6', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9305, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0095, 'severity': 0.95, 'description': 'Bus 6 undervoltage: 0.9305 p.u. falls below lower limit 0.94 p.u. (-0.0095 p.u.)'}, {'element_type': 'bus', 'element_id': 7, 'element_name': 'Bus 7', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9348, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0052, 'severity': 0.52, 'description': 'Bus 7 undervoltage: 0.9348 p.u. falls below lower limit 0.94 p.u. (-0.0052 p.u.)'}, {'element_type': 'bus', 'element_id': 8, 'element_name': 'Bus 8', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9317, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0083, 'severity': 0.83, 'description': 'Bus 8 undervoltage: 0.9317 p.u. falls below lower limit 0.94 p.u. (-0.0083 p.u.)'}, {'element_type': 'bus', 'element_id': 9, 'element_name': 'Bus 9', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9308, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0092, 'severity': 0.92, 'description': 'Bus 9 undervoltage: 0.9308 p.u. falls below lower limit 0.94 p.u. (-0.0092 p.u.)'}, {'element_type': 'bus', 'element_id': 10, 'element_name': 'Bus 10', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9291, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0109, 'severity': 1.09, 'description': 'Bus 10 undervoltage: 0.9291 p.u. falls below lower limit 0.94 p.u. (-0.0109 p.u.)'}, {'element_type': 'bus', 'element_id': 11, 'element_name': 'Bus 11', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9289, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0111, 'severity': 1.11, 'description': 'Bus 11 undervoltage: 0.9289 p.u. falls below lower limit 0.94 p.u. (-0.0111 p.u.)'}, {'element_type': 'trafo', 'element_id': 0, 'element_name': 'Trafo 0-1', 'hv_bus': 0, 'lv_bus': 1, 'violation_type': 'TRAFO_OVERLOAD', 'actual_value': 109.6, 'limit_value': 100.0, 'unit': '%', 'margin': 9.6, 'severity': 9.6, 'description': 'Trafo 0-1 overload: 109.6% exceeds limit 100.0% (+9.6%)'}]"
10,curtail_15pct,CURTAILMENT,Solar Curtailment (15%),True,False,10,9,0,0.9192,1.03,90.72,85.0,3.0,-504.98,Curtailed solar generation by 15% across 9 units (-0.228 MW wasted).,"[{'element_type': 'bus', 'element_id': 3, 'element_name': 'Bus 3', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9257, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0143, 'severity': 1.43, 'description': 'Bus 3 undervoltage: 0.9257 p.u. falls below lower limit 0.94 p.u. (-0.0143 p.u.)'}, {'element_type': 'bus', 'element_id': 4, 'element_name': 'Bus 4', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.923, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.017, 'severity': 1.7, 'description': 'Bus 4 undervoltage: 0.9230 p.u. falls below lower limit 0.94 p.u. (-0.0170 p.u.)'}, {'element_type': 'bus', 'element_id': 5, 'element_name': 'Bus 5', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9211, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0189, 'severity': 1.89, 'description': 'Bus 5 undervoltage: 0.9211 p.u. falls below lower limit 0.94 p.u. (-0.0189 p.u.)'}, {'element_type': 'bus', 'element_id': 6, 'element_name': 'Bus 6', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9194, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0206, 'severity': 2.06, 'description': 'Bus 6 undervoltage: 0.9194 p.u. falls below lower limit 0.94 p.u. (-0.0206 p.u.)'}, {'element_type': 'bus', 'element_id': 7, 'element_name': 'Bus 7', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9246, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0154, 'severity': 1.54, 'description': 'Bus 7 undervoltage: 0.9246 p.u. falls below lower limit 0.94 p.u. (-0.0154 p.u.)'}, {'element_type': 'bus', 'element_id': 8, 'element_name': 'Bus 8', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9221, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0179, 'severity': 1.79, 'description': 'Bus 8 undervoltage: 0.9221 p.u. falls below lower limit 0.94 p.u. (-0.0179 p.u.)'}, {'element_type': 'bus', 'element_id': 9, 'element_name': 'Bus 9', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9211, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0189, 'severity': 1.89, 'description': 'Bus 9 undervoltage: 0.9211 p.u. falls below lower limit 0.94 p.u. (-0.0189 p.u.)'}, {'element_type': 'bus', 'element_id': 10, 'element_name': 'Bus 10', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9195, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0205, 'severity': 2.05, 'description': 'Bus 10 undervoltage: 0.9195 p.u. falls below lower limit 0.94 p.u. (-0.0205 p.u.)'}, {'element_type': 'bus', 'element_id': 11, 'element_name': 'Bus 11', 'vn_kv': 20.0, 'violation_type': 'UNDERVOLTAGE', 'actual_value': 0.9192, 'limit_value': 0.94, 'unit': 'p.u.', 'margin': 0.0208, 'severity': 2.08, 'description': 'Bus 11 undervoltage: 0.9192 p.u. falls below lower limit 0.94 p.u. (-0.0208 p.u.)'}, {'element_type': 'trafo', 'element_id': 0, 'element_name': 'Trafo 0-1', 'hv_bus': 0, 'lv_bus': 1, 'violation_type': 'TRAFO_OVERLOAD', 'actual_value': 112.91, 'limit_value': 100.0, 'unit': '%', 'margin': 12.91, 'severity': 12.91, 'description': 'Trafo 0-1 overload: 112.9% exceeds limit 100.0% (+12.9%)'}]"
