rank,action_id,action_type,name,converged,resolved,residual_violations_count,residual_voltage_violations,residual_loading_violations,min_vm_pu,max_vm_pu,max_line_loading_percent,renewable_retained_pct,cost_proxy,score,description,violations_detail
1,reconfig_switch_4,FEEDER_RECONFIGURATION,Feeder Reconfiguration (S1),True,True,0,0,0,1.0192,1.0486,43.29,100.0,1.0,1185.0,Closed tie-switch S1 at Bus 8 (Line 14) to redistribute power flow across feeders.,[]
2,battery_+2.00mw_bus7,BATTERY_DISPATCH,Battery Dispatch (+2.00 MW),True,True,0,0,0,1.0183,1.046,57.67,100.0,2.0,1170.0,Dispatched Battery Bus 7 at Bus 7 to +2.00 MW (CHARGING (absorb power)). 100% clean energy preserved.,[]
3,hybrid_reconfig_s1_battery,HYBRID,Hybrid: Reconfiguration (S1) + Battery (0.5 MW),True,True,0,0,0,1.0191,1.0491,44.27,100.0,2.0,1170.0,Closed tie-switch S1 and dispatched Battery 1 to absorb/support 0.5 MW. 100% clean energy preserved.,[]
4,curtail_30pct,CURTAILMENT,Solar Curtailment (30%),True,True,0,0,0,1.0183,1.0476,57.14,70.0,3.0,1095.0,Curtailed solar generation by 30% across 9 units (-2.025 MW wasted).,[]
5,curtail_50pct,CURTAILMENT,Solar Curtailment (50%),True,True,0,0,0,1.0183,1.0349,33.4,50.0,3.0,1055.0,Curtailed solar generation by 50% across 9 units (-3.375 MW wasted).,[]
6,curtail_75pct,CURTAILMENT,Solar Curtailment (75%),True,True,0,0,0,1.0152,1.03,13.54,25.0,3.0,1005.0,Curtailed solar generation by 75% across 9 units (-5.062 MW wasted).,[]
7,curtail_100pct,CURTAILMENT,Solar Curtailment (100%),True,True,0,0,0,0.9978,1.03,35.46,0.0,3.0,955.0,Curtailed solar generation by 100% across 9 units (-6.750 MW wasted).,[]
8,hybrid_battery_curtail20,HYBRID,Hybrid: Battery (1.0 MW) + Mild Curtailment (20%),True,False,1,1,0,1.0183,1.0506,62.17,80.0,2.5,62.38,Dispatched Battery 1 to 1.0 MW absorption combined with 20% solar curtailment to clear high peaks.,"[{'element_type': 'bus', 'element_id': 7, 'element_name': 'Bus 7', 'vn_kv': 20.0, 'violation_type': 'OVERVOLTAGE', 'actual_value': 1.0506, 'limit_value': 1.05, 'unit': 'p.u.', 'margin': 0.0006, 'severity': 0.06, 'description': 'Bus 7 overvoltage: 1.0506 p.u. exceeds upper limit 1.05 p.u. (+0.0006 p.u.)'}]"
9,battery_+1.50mw_bus7,BATTERY_DISPATCH,Battery Dispatch (+1.50 MW),True,False,2,2,0,1.0183,1.0506,66.87,100.0,2.0,49.88,Dispatched Battery Bus 7 at Bus 7 to +1.50 MW (CHARGING (absorb power)). 100% clean energy preserved.,"[{'element_type': 'bus', 'element_id': 10, 'element_name': 'Bus 10', 'vn_kv': 20.0, 'violation_type': 'OVERVOLTAGE', 'actual_value': 1.0506, 'limit_value': 1.05, 'unit': 'p.u.', 'margin': 0.0006, 'severity': 0.06, 'description': 'Bus 10 overvoltage: 1.0506 p.u. exceeds upper limit 1.05 p.u. (+0.0006 p.u.)'}, {'element_type': 'bus', 'element_id': 11, 'element_name': 'Bus 11', 'vn_kv': 20.0, 'violation_type': 'OVERVOLTAGE', 'actual_value': 1.0506, 'limit_value': 1.05, 'unit': 'p.u.', 'margin': 0.0006, 'severity': 0.06, 'description': 'Bus 11 overvoltage: 1.0506 p.u. exceeds upper limit 1.05 p.u. (+0.0006 p.u.)'}]"
10,battery_coordinated_b5_b10,BATTERY_DISPATCH,Dual-Battery Coordinated Dispatch (+2.0 MW),True,False,5,5,0,1.0183,1.0556,72.26,100.0,2.0,-131.12,Coordinated dispatch of Battery 1 (Bus 5: +1.2 MW) and Battery 2 (Bus 10: +0.8 MW). 100% clean energy preserved.,"[{'element_type': 'bus', 'element_id': 7, 'element_name': 'Bus 7', 'vn_kv': 20.0, 'violation_type': 'OVERVOLTAGE', 'actual_value': 1.0556, 'limit_value': 1.05, 'unit': 'p.u.', 'margin': 0.0056, 'severity': 0.56, 'description': 'Bus 7 overvoltage: 1.0556 p.u. exceeds upper limit 1.05 p.u. (+0.0056 p.u.)'}, {'element_type': 'bus', 'element_id': 8, 'element_name': 'Bus 8', 'vn_kv': 20.0, 'violation_type': 'OVERVOLTAGE', 'actual_value': 1.0527, 'limit_value': 1.05, 'unit': 'p.u.', 'margin': 0.0027, 'severity': 0.27, 'description': 'Bus 8 overvoltage: 1.0527 p.u. exceeds upper limit 1.05 p.u. (+0.0027 p.u.)'}, {'element_type': 'bus', 'element_id': 9, 'element_name': 'Bus 9', 'vn_kv': 20.0, 'violation_type': 'OVERVOLTAGE', 'actual_value': 1.0531, 'limit_value': 1.05, 'unit': 'p.u.', 'margin': 0.0031, 'severity': 0.31, 'description': 'Bus 9 overvoltage: 1.0531 p.u. exceeds upper limit 1.05 p.u. (+0.0031 p.u.)'}, {'element_type': 'bus', 'element_id': 10, 'element_name': 'Bus 10', 'vn_kv': 20.0, 'violation_type': 'OVERVOLTAGE', 'actual_value': 1.0532, 'limit_value': 1.05, 'unit': 'p.u.', 'margin': 0.0032, 'severity': 0.32, 'description': 'Bus 10 overvoltage: 1.0532 p.u. exceeds upper limit 1.05 p.u. (+0.0032 p.u.)'}, {'element_type': 'bus', 'element_id': 11, 'element_name': 'Bus 11', 'vn_kv': 20.0, 'violation_type': 'OVERVOLTAGE', 'actual_value': 1.0532, 'limit_value': 1.05, 'unit': 'p.u.', 'margin': 0.0032, 'severity': 0.32, 'description': 'Bus 11 overvoltage: 1.0532 p.u. exceeds upper limit 1.05 p.u. (+0.0032 p.u.)'}]"
